Index,Type,Year,Depth,SA,Flow_Q,HRT_tau,Dep*SA/Q*365,L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR
1,Lake,2006,8.5,523500,832365,1951.257862,1951.257862,2.223082192,0.595212329,0.000675324,0.001401629,1.550707397,0.200679781,0.001047917,0.00344766,,,,,,,,
2,Lake,,8.9,344100,1517481,736.6213152,736.6213152,1.461246575,0.391236986,0.001788886,0.003712816,2.82708789,0.365858433,0.002775858,0.009132607,,,,,,,,
3,Lake,,9.2,567400,3262550,584,584,2.409506849,0.645126027,0.00225639,0.004683116,6.078175342,0.786587397,0.003501294,0.011519303,,,,,,,,
4,Lake,,5,936000,2602080,656.4748201,656.4748201,3.974794521,1.064219178,0.002007284,0.0041661,4.847710685,0.627350795,0.003114752,0.010247572,,,,,,,,
5,Lake,,13.3,713800,3040788,1139.553991,1139.553991,3.031205479,0.811580822,0.001156357,0.002400009,5.665029699,0.73312149,0.001794348,0.005903426,,,,,,,,
6,Lake,,7.9,321400,668512,1386.298077,1386.298077,1.364849315,0.365427397,0.00095054,0.001972837,1.245447014,0.161175496,0.001474976,0.004852688,,,,,,,,
7,Lake,,14.2,571300,3296401,898.2668977,898.2668977,2.426068493,0.649560274,0.001466971,0.003044685,6.141240219,0.794748734,0.002276335,0.007489169,,,,,,,,
8,Lake,1987,7.1,,-999,21.9,0,,,0.00331373,0.003436932,,,,,,,,,,,,
9,Lake,,2.4,,-999,73,0,,,0.006113522,0.007705479,,,,,,,,,,,,
10,Lake,,12.4,,-999,857.75,0,,,0.001011368,0.001609971,,,,,,,,,,,,
11,Lake,,8,,-999,1397.95,0,,,0.001187976,0.003049578,,,,,,,,,,,,
12,Lake,,5.7,,-999,2117,0,,,0.000568716,0.001102189,,,,,,,,,,,,
13,Lake,,10.9,,-999,2263,0,,,0.000936926,0.003240536,,,,,,,,,,,,
14,Lake,,5.1,,-999,3029.5,0,,,0.00129131,0.016174286,,,,,,,,,,,,
15,Lake,,7.1,,-999,3175.5,0,,,0.001231939,0.015430641,,,,,,,,,,,,
16,Lake,,10.6,,-999,9125,0,,,0.000504676,0.010849315,,,,,,,,,,,,
17,Lake,2000,2.2,28000000,250000000,89,89.936,4046.575342,1605.479452,0.010387062,0.01708402,,,,,188.4931507,50.68493151,0.014757674,0.030549651,,,,
18,Lake,,2.2,28000000,181720000,124,123.7288136,3219.178082,1109.589041,0.008589809,0.015332537,,,,,234.5205479,48.49315068,0.01271065,0.03093676,,,,
19,Lake,1994,2.5,6100000,10420000,529.25,534.1890595,53.21205479,37.60273973,0.000656038,0.000784338,15.34191781,5.648767123,0.001887863,0.003242279,2.506849315,2.30630137,,,1.153150685,0.334246575,0.002339866,0.004629192
20,Lake,,2.5,6100000,8570000,642.4,649.504084,43.98684932,26.68958904,0.000777735,0.001008858,20.65643836,2.724109589,0.00315362,0.010247232,,,,,0.81890411,0.217260274,0.00206549,0.004310758
21,Lake,,2.5,6100000,6840000,806.65,813.7792398,43.5690411,21.52547945,0.000874121,0.001269532,21.77616438,3.058356164,0.002433445,0.007587205,1.437260274,1.236712329,0.000186304,0.000201032,0,0,,
22,Lake,,5.4,2700000,265822.7848,240.9,20019.72857,93.13150685,79.39479452,0.000662431,0.000718214,25.77945205,17.56849315,0.001591825,0.001940093,4.630684932,3.905753425,0.000706742,0.000770469,1.33890411,1.87890411,-0.001406547,-0.001193033
23,Lake,,5.4,2700000,17570000,295.65,302.8856005,62.10739726,54.13315068,0.000464801,0.000498251,19.75808219,9.024657534,0.002650438,0.004022812,2.626027397,3.691232877,-0.00115166,-0.000976077,0.665753425,1.449863014,-0.002632522,-0.001829245
24,Lake,,5.4,2700000,13310000,390.55,399.8271976,58.4309589,43.14082192,0.000776792,0.000907499,11.39917808,7.604383562,0.001036529,0.001277755,2.115616438,2.648219178,-0.000574936,-0.000514959,0.562191781,1.390684932,-0.002319059,-0.001525399
25,Lake,1996,1.4,,-999,18.25,0,,,0.013614321,0.015454865,,,,,,,,,,,,
26,Lake,,1.6,,-999,25.55,0,,,0.00776716,0.008591475,,,,,,,,,,,,
27,Lake,,2,,-999,29.2,0,,,0.010311818,0.012032581,,,,,,,,,,,,
28,Lake,,0.9,,-999,36.5,0,,,0.008249455,0.009626064,,,,,,,,,,,,
29,Lake,,2,,-999,51.1,0,,,0.016066156,0.0249066,,,,,,,,,,,,
30,Lake,,5.6,,-999,178.85,0,,,0.004718871,0.007411694,,,,,,,,,,,,
31,Lake,,3.1,,-999,200.75,0,,,0.003162532,0.004417397,,,,,,,,,,,,
32,Lake,,2.9,,-999,251.85,0,,,0.00505446,0.010210159,,,,,,,,,,,,
33,Lake,,1.2,,-999,7.3,0,,,0.015963536,0.016930891,,,,,,,,,,,,
34,Lake,,4,,-999,14.6,0,,,0.00875571,0.009339975,,,,,,,,,,,,
35,Lake,,1.2,,-999,14.6,0,,,0.014432947,0.016066295,,,,,,,,,,,,
36,Lake,,1,,-999,18.25,0,,,0.015037635,0.017303533,,,,,,,,,,,,
37,Lake,,0.9,,-999,18.25,0,,,0.012916292,0.014565632,,,,,,,,,,,,
38,Lake,,1.2,,-999,29.2,0,,,0.016371089,0.020989837,,,,,,,,,,,,
39,Lake,,2.7,,-999,62.05,0,,,0.005519586,0.006582606,,,,,,,,,,,,
40,Lake,,4.6,,-999,91.25,0,,,0.007379118,0.010529143,,,,,,,,,,,,
41,Lake,1998,2.5,272000000,657000000,400,377.7777778,5712,1632,0.003131907,0.00625,4080,816,0.004023595,0.01,108.8,24.48,0.003729137,0.008611111,89.76,8.16,0.005994738,0.025
42,Lake,,2.6,276153846.2,1332250000,552.3076923,196.7123288,14083.84615,1104.615385,0.004608901,0.021274373,10770,552.3076923,0.005378188,0.033495822,546.7846154,33.13846154,0.005075722,0.028064067,439.0846154,8.284615385,0.007188551,0.094150418
43,Lake,,3.2,290312500,1496500000,546.4705882,226.5853659,24095.9375,4064.375,0.003256869,0.009018914,12483.4375,1741.875,0.003603928,0.011284535,342.56875,78.384375,0.00269886,0.006167524,229.346875,8.709375,0.005985383,0.046358091
44,Lake,,3.3,299696969.7,1222750000,329.6666667,295.2238806,10189.69697,5993.939394,0.00160959,0.002123357,5694.242424,2397.575758,0.002623855,0.00417088,155.8424242,116.8818182,0.000872645,0.001011122,80.91818182,23.97575758,0.003689773,0.007204247
45,Lake,,3.3,302121212.1,1423500000,276.9444444,255.6410256,8459.393939,3927.575758,0.00277043,0.004166345,5438.181818,1812.727273,0.003966905,0.007221665,516.6272727,217.5272727,0.003123361,0.004964895,265.8666667,36.25454545,0.007194332,0.022868606
46,Lake,,3.3,296969697,930750000,264.8648649,384.3137255,2969.69697,5345.454545,-0.002219195,-0.001678005,1187.878788,2078.787879,-0.002112835,-0.001618076,148.4848485,240.5454545,-0.001821405,-0.001444948,68.3030303,89.09090909,-0.001003165,-0.000880952
47,Lake,,3,289666666.7,784750000,234.8648649,404.1860466,869,2896.666667,-0.005126236,-0.002980437,289.6666667,1158.666667,-0.005902519,-0.003193326,52.14,217.25,-0.00607633,-0.003235903,28.96666667,28.96666667,0,0
48,Lake,,2.7,276296296.3,620500000,257.2413793,438.8235294,828.8888889,2762.962963,-0.004680323,-0.00272118,276.2962963,276.2962963,0,0,30.39259259,190.6444444,-0.007138087,-0.003267669,16.57777778,30.39259259,-0.002356292,-0.001767
49,Lake,,2.4,271666666.7,529250000,271.6666667,449.6551725,815,2173.333333,-0.003610414,-0.002300613,271.6666667,271.6666667,0,0,38.03333333,133.1166667,-0.004611397,-0.002629273,24.45,43.46666667,-0.002117905,-0.001610429
50,Lake,,2.3,261304347.8,511000000,300.5,429.2857142,1306.521739,1829.130435,-0.001119708,-0.000950796,783.9130435,261.3043478,0.003655948,0.006655574,67.93913043,164.6217391,-0.002945219,-0.001954415,41.80869565,47.03478261,-0.000391957,-0.000369754
51,Lake,,2.2,252272727.3,438000000,346.875,462.5000001,2018.181818,1261.363636,0.001354965,0.00172973,1009.090909,252.2727273,0.003996524,0.008648649,78.20454545,60.54545455,0.000737826,0.000840841,47.93181818,10.09090909,0.004491948,0.010810811
52,Lake,,2.1,254285714.3,365000000,381.4285714,534,1271.428571,1017.142857,0.000585021,0.000655431,1017.142857,254.2857143,0.00363448,0.007865169,58.48571429,40.68571429,0.000951438,0.001147004,35.6,10.17142857,0.003284397,0.006554307
53,Lake,,2.7,285555555.6,857750000,321.25,328.0851064,5996.666667,2700,0.002483897,0.00380074,3712.222222,856.6666667,0.004564473,0.010376135,177.0444444,128.5,0.000997578,0.001175962,111.3666667,28.55555556,0.004236503,0.009027237
54,Lake,1997,33,5200000,41942880,1496.5,1493.316625,594.5205479,126.0273973,0.001036589,0.002484057,,,,,,,,,,,,
55,Lake,,84,38300000,227374560,5146.5,5164.509169,909.5890411,115.0684932,0.000401723,0.001341642,,,,,,,,,,,,
56,Lake,2006,6,20200000,172571428.6,255.5,256.3460264,3520.833333,2072.916667,0.002073351,0.002733826,,,,,,,,,,,,
57,Lake,,9.8,12500000,174428571.4,255.5,256.3370189,3781.25,1906.25,0.002680692,0.003849732,,,,,,,,,,,,
58,Lake,,8.2,7700000,157250000,146,146.5570747,3541.666667,1385.416667,0.006428743,0.010660212,,,,,,,,,,,,
59,Lake,,14.4,16200000,179384615.4,474.5,474.6627787,5072.916667,1000,0.003422373,0.008583597,,,,,,,,,,,,
60,Lake,1990,6.2,,-999,365,0,,,,,,,0.00163791,0.002241594,,,,,,,,
61,Lake,,8.3,,-999,1350.5,0,,,,,,,0.000528212,0.00077069,,,,,,,,
62,Lake,,3.3,,-999,109.5,0,,,,,,,0.002269054,0.002575811,,,,,,,,
63,Lake,,12.2,,-999,328.5,0,,,,,,,0.001000012,0.001183832,,,,,,,,
64,Lake,2005,3.6,126000,339972.5,535.2244977,486.9923303,5.095238095,2.59047619,0.00126389,0.001806554,,,,,0.166666667,0.19047619,0.002373241,0.004786076,,,,
65,Lake,,,,-999,18.01192609,0,,,,,,,,,,,0.019779248,0.023761042,,,,
66,Lake,,,,-999,25.63778622,0,,,,,,,,,,,0.01858764,0.023812587,,,,
67,Lake,,,,-999,1361.34032,0,,,,,,,,,,,0.001284676,0.003487862,,,,
68,Lake,,,,-999,1717.726146,0,,,,,,,,,,,0.001123367,0.003427212,,,,
69,Lake,2006,87,14400000,41764705.88,5584.5,10948.7662,,,,,,,,,17.53424658,4.931506849,0.000227454,0.000458703,,,,
70,Lake,,87,14400000,41764705.88,5584.5,10948.7662,,,,,,,,,24.38356164,11.50684932,0.000134791,0.000201058,,,,
71,Lake,,66,5200000,43250000,1460,2896.369942,,,,,,,,,15.06849315,6.849315068,0.000544228,0.000831161,,,,
72,Lake,,66,5200000,43250000,1460,2896.369942,,,,,,,,,30.68493151,18.63013699,0.000344174,0.000447149,,,,
73,Lake,,47,10200000,73076923.08,1423.5,2394.476842,,,,,,,,,17.53424658,9.315068493,0.000211761,0.000247143,,,,
74,Lake,,47,10200000,73076923.08,1423.5,2394.476842,,,,,,,,,40,29.5890411,0.000449257,0.00062913,,,,
75,Lake,,35,35000000,28095238.1,766.5,15914.61864,,,,,,,,,4.657534247,1.643835616,0.000645501,0.000835135,,,,
76,Lake,,35,35000000,28095238.1,766.5,15914.61864,,,,,,,,,18.63013699,13.42465753,0.001380966,0.002455414,,,,
77,Lake,,32,8400000,123333333.3,438,795.5027029,,,,,,,,,29.5890411,18.08219178,0.001143506,0.001484321,,,,
78,Lake,,32,8400000,123333333.3,438,795.5027029,,,,,,,,,116.9863014,106.3013699,0.000230161,0.000242163,,,,
79,Lake,1988,3.3,1100000000,1.67E+11,9.057534239,7.933832335,,,,,,,,,8797.260274,7586.30137,0.016350606,0.017623385,,,,
80,Lake,,3.3,1100000000,1.67E+11,9.066597156,7.933832335,,,,,,,,,9567.123288,9054.794521,0.006070432,0.006240592,,,,
81,Lake,,3.3,1100000000,1.67E+11,9.072466228,7.933832335,,,,,,,,,8931.506849,7890.410959,0.013660773,0.014543393,,,,
82,Lake,,3.3,1100000000,1.65E+11,9.151443434,8.03,,,,,,,,,8939.726027,7969.863014,0.012548582,0.013297498,,,,
83,Lake,2005,1.6,135000000,42352941.18,1861.5,1861.5,,,,,,,,,,,0.000599914,0.001103884,,,,
84,Lake,,,,-999,1151.202356,0,,,,,,,,,,,0.001518688,0.004121714,,,,
85,Lake,2005,4.9,7300000,201830400,58.42894462,64.68822338,868.1472,691.2,0.000520393,0.00438139,376.0128,265.4208,0.005961201,0.007131169,,,0.00053765,0.000546184,,,,
86,Lake,2001,4.5,1100000000,794117647.1,3723,2275.166667,,,,,,,,,1953.817749,1362.875521,9.67E-05,0.000116465,1363.088743,714.4407385,0.000173518,0.000243865
87,Lake,2002,4.8,255000,393000,1360.513012,1136.793893,,,,,,,,,6183.1,5475,8.94E-05,9.51E-05,,,,
88,Lake,,4.8,255000,231000,2291.046902,1934.025974,,,,,,,,,9774.7,9154.2,2.86E-05,2.96E-05,,,,
89,Lake,2005,1.9,2350000000,14550000000,136.8964456,112.0085911,,,,,,,,,5315.068493,2657.534247,0.005063296,0.007304792,,,,
90,Lake,,1.9,2350000000,16630000000,115.6923413,97.99909802,,,,,,,,,4876.712329,2164.383562,0.007021517,0.010831871,,,,
91,Lake,,1.9,2350000000,9580000000,190.9367692,170.1174322,,,,,,,,,4493.150685,1232.876712,0.006772943,0.013849844,,,,
92,Lake,2001,8.9,387000000,2710486183,464.5845487,463.8169742,,,,,,,,,1394.520548,884.9315068,0.00097893,0.001239498,,,,
93,Lake,2003,2.2,34000000,72798099.16,375.0372649,375.0372649,,,,,,,,,,,0.001149993,0.001437837,,,,
94,Lake,2002,2.4,610000,10300000,78.45501275,51.87961165,,,,,20.06849315,11.45205479,0.007150364,0.009590112,0.446575342,0.301369863,0.00501268,0.006141331,,,,
95,Lake,1999,0.7,28000,2458024.344,2.910467513,2.910467513,,,,,6.550684932,2.315068493,0.357375692,0.628622649,2.032876712,0.934246575,0.267127794,0.404042675,,,,
96,Lake,2007,173,29800000,1993775686,946.4705649,943.7977468,,,,,,,,,20.82191781,3.287671233,0.001950221,0.00563497,,,,
97,Lake,2003,26,1100000,38101336.88,273.9798877,273.9798877,97.04109589,89.50684932,0.000294983,0.000307231,,,,,3.435616438,3.043835616,0.000441923,0.000469789,,,,
98,Lake,1997,5.4,154000000,160833600,1095,1887.254902,1452.054795,958.9041096,0.000378944,0.000469667,958.9041096,49.31506849,0.002710102,0.016844242,54.79452055,7.945205479,0.00176349,0.005384979,10.95890411,3.287671233,0.001099519,0.002130898
99,Lake,,,,-999,445.7626936,0,,,,,,,,,,,0.002796685,0.005560577,,,,
100,Lake,1994,3.2,7100000,-999,65.17887394,-8301101.101,1069.863014,894.7945205,0.00274156,0.003001773,816.9863014,680.8219178,0.002797249,0.003068479,60.30136986,44.73972603,0.004579597,0.005336485,,,,
101,Lake,,,,-999,217.5492315,0,,,,,,,,,,,0.005915963,0.012052226,,,,
102,Lake,,2.5,300000,-999,160.2742883,-274024.024,8.219178082,4.109589041,0.004324756,0.006239304,3.287671233,0.98630137,0.007511952,0.014558376,0.534246575,0.287671233,0.003862374,0.005347975,,,,
103,Lake,2007,10.5,79800000,-999,538.3402245,-306139639.6,0.52024,0.2296,0.001519395,0.002351401,,,,,0.0336,0.0168,0.001287563,0.001857561,,,,
104,Lake,2003,7.1,3555000000,15370068224,595.3486911,599.3976322,,,,,,,,,,,0.00181451,0.003267772,,,,
105,Lake,1997,744,31722,76666666.67,109500,112.3620824,,,,,,,,,17260.27397,3287.671233,1.51E-05,3.88E-05,,,,
106,Lake,,147,82103000000,63350785.34,69715,69537203.7,,,,,,,,,11232.87671,1095.890411,3.34E-05,0.000132683,,,,
107,Lake,2008,0.9,16600000,167489167.3,33.77830393,32.55792651,,,,,,,,,226.5753425,161.6438356,0.009997013,0.011892098,,,,
108,Lake,,,,-999,3830.511604,0,,,,,,,,,,,0.000388749,0.000896262,,,,
109,Lake,,,,-999,4969.488724,0,,,,,,,,,,,0.000341392,0.000896482,,,,
110,Lake,,,,-999,3518.619831,0,,,,,,,,,,,0.000576991,0.001880199,,,,
111,Lake,,,,-999,3483.195854,0,,,,,,,,,,,0.00079709,0.004324033,,,,
112,Lake,,,,-999,205.9060518,0,,,,,,,,,,,0.005072037,0.008943829,,,,
113,Lake,,,,-999,155.2566785,0,,,,,,,,,,,0.014651839,0.05620327,,,,
114,Lake,,,,-999,1351.366241,0,,,,,,,,,,,0.000793119,0.001421238,,,,
115,Lake,2000,3,1800000000,1893298425,1002.483272,1041.040321,,,,,,,,,,,0.001222071,0.002398571,,,,
116,Lake,2001,27,5648000000,15641856000,3577,3558.467742,,,,,,,,,,,,,,,,
117,Lake,,39.8,1856000000,1324512000,21170,20356.26102,,,,,,,,,,,,,,,,
118,Lake,,12.8,1096000000,5298048000,1022,966.4902998,,,0.000803308,0.00124533,,,,,,,0.001178056,0.002283105,,,,
119,Lake,,6.1,484000000,851472000,1350.5,1265.603567,,,,,,,,,,,,,,,,
120,Reservoir,2003,3,122400,4467600,30,30,,,,,,,,,8.931506849,7.575342466,0,0,,,,
122,Reservoir,2007,20,4300000,261973414.7,89.16935341,119.8213186,82.84931507,499.0684932,-0.020138308,-0.009352901,,,,,,,0.008340284,0.012377572,,,,
123,Reservoir,1999,33,8580000,7586181776,13.85677316,13.62294011,,,,,,,,,331.5068493,117.8082192,0.074663157,0.130907353,158.9041096,46.57534247,0.088565328,0.174049519
124,Reservoir,,33,8580000,4365733710,24.0784269,23.67210345,,,,,,,,,,,0.007664084,0.008416829,,,,
125,Reservoir,2001,2.5,1040000,85147200,14,11.14540466,,,,,,,,,73112,42432,0.038863551,0.051645658,,,,
126,Reservoir,,2.5,1040000,50457600,24,18.80787037,,,,,,,,,45968,38376,0.007521385,0.008242999,,,,
127,Reservoir,1998,,,290000000,193.45,0,,,,,3616.438356,1616.438356,0.004162649,0.006395907,73.97260274,35.61643836,0.003778173,0.005566932,24.65753425,5.479452055,0.007775019,0.01809253
128,Reservoir,,,,577500000,138.7,0,,,,,7945.205479,4054.794521,0.00484981,0.006917516,172.6027397,38.35616438,0.010844105,0.025234319,71.23287671,10.95890411,0.013495329,0.039653929
129,Reservoir,,,,475000000,167.9,0,,,,,5832.876712,2767.123288,0.004441346,0.006598694,87.67123288,32.87671233,0.005841747,0.009926544,47.12328767,12.60273973,0.007854992,0.016314059
130,Reservoir,,,,139000000,302.95,0,,,,,,,,,,,,,,,,
131,Reservoir,,,,185000000,215.35,0,,,,,2082.191781,931.5068493,0.003735188,0.005736216,21.91780822,10.95890411,0.003218701,0.004643603,10.68493151,3.835616438,0.004757392,0.008292149
132,Reservoir,,,,200000000,160.6,0,,,,,2098.630137,967.1232877,0.004823874,0.007285004,21.91780822,16.43835616,0.001791296,0.00207555,12.60273973,4.657534247,0.006198182,0.010621932
133,Reservoir,,,,274500000,189.8,0,,,,,,,,,,,,,,,,
134,Reservoir,,,,460000000,109.5,0,,,,,7205.479452,4465.753425,0.002520568,0.003232334,49.31506849,27.39726027,0.003096874,0.004214963,26.30136986,9.315068493,0.00546885,0.009607637
135,Reservoir,,,,460000000,105.85,0,,,,,5819.178082,5002.739726,0.001380578,0.001490395,49.31506849,32.87671233,0.003702878,0.00456621,32.05479452,11.50684932,0.009356204,0.016307893
136,Reservoir,1997,3.2,600000,14016000,50,50,,,,,,,,,28.29745597,15.59295499,0.011919054,0.016295181,,,,
137,Reservoir,,,,-999,120.754794,0,,,,,,,,,,,0.017688988,0.061825804,,,,
138,Reservoir,,,,-999,50.00437403,0,,,,,,,,,,,0.018498277,0.030434439,,,,
139,Reservoir,,,,-999,83.3984028,0,,,,,,,,,,,0.013334856,0.024469946,,,,
140,Reservoir,2002,99,56000000,334701666.7,84,6045.861737,16821.91781,7616.438356,0.009433022,0.014388489,,,,,4164.383562,1375.342466,0.013284013,0.024315675,,,,
141,Reservoir,1984,27.1,6550000,106765000,94.55958549,606.8404908,,,,,,,,,11.64383562,7.671232877,0.004967852,0.006164966,,,,
142,Reservoir,,16.6,1680000,172368000,354.368932,59.0545809,,,,,,,,,3.424657534,3.01369863,0.001351882,0.001442092,,,,
143,NWSF,1989,1,38100,300990,47.77486911,46.20253165,0.355947945,0.340290411,0.000941606,0.000963106,0.089352329,0.041231507,0.016188105,0.024428923,0.015135616,0.014091781,0.001495744,0.001550482,,,,
144,NWSF,1989,3.2,8300,97525,101.5652174,99.40425532,0.079589041,0.089594521,-0.001165928,-0.001099541,0.030471233,0.016690959,0.005926398,0.008128896,0.001500822,0.002160274,-0.003586091,-0.003005588,,,,
145,NWUF,1989,1,21200,120840,66.60583942,64.03508772,0.08770411,0.087123288,9.98E-05,0.000100091,0.030957808,0.009176986,0.018255552,0.035633778,0.002439452,0.002439452,0,0,,,,
146,NWUF,1989,1,11300,136165,30.93220339,30.29045643,0.112380822,0.112690411,-8.89E-05,-8.88E-05,0.046128767,0.026315068,0.018145977,0.02434166,0.003436438,0.002910137,0.005374186,0.005846692,,,,
148,NWUF,1989,1,1000,34350,10.70381232,10.62590975,0.028767123,0.027232877,0.005120441,0.005263361,0.009780822,0.00739726,0.026094798,0.030103501,0.000813699,0.000676712,0.017222257,0.018911874,,,,
148,NWUF,1994,3,60000,1476000,44.51219512,44.51219512,7.890410959,7.890410959,0,0,5.326027397,3.846575342,0.007310859,0.008640674,,,,,,,,
149,NWUF,1994,3,50000,1860000,29.43548387,29.43548387,9.616438356,8.383561644,0.004661079,0.004995971,6.904109589,4.438356164,0.015010209,0.018873668,,,,,,,,
150,NWUF,1994,0.6,40000,336000,26.07142857,26.07142857,2.95890411,2.465753425,0.006993156,0.007671233,2.465753425,0.054794521,0.146008972,1.687671233,,,,,,,,
151,CWSF,2003,2,6000,-999,1.625,-4384.384384,1.278538813,0.816986301,0.275600507,0.347658601,1.033268102,0.671624266,0.265097179,0.331360947,0.063632346,0.024180292,0.595436324,1.004048583,0.007305936,0.005333333,0.193668151,0.227608008
152,CWSF,2003,1.5,4500,4818000,0.25,0.511363636,,,,,,,,,0.136265321,0.11037491,0.842884125,0.938271605,,,,
153,CWSF,2003,,600000,-999,24,0,85.18057285,75.81070984,0.004855576,0.005149813,56.36007828,48.46966732,0.006284287,0.006782946,2.082191781,1.769863014,0.006771622,0.007352941,0.328767123,0.279452055,0.006771622,0.007352941
154,CWUF,1999,0.5,0.5,3.65,5,25,,,0.06,,,,,,,,0.075,,,,,
155,CWSF,1999,,30000,989515,3.2,0,36.9,22.2,0.158787269,0.206925676,,,,,,,,,,,,
156,CWSF,1999,,10000,366460,2.7,0,4.6,3,0.158312598,0.197530864,,,,,,,,,,,,
157,CWSF,1999,,10000,345472.5,2.8,0,4.7,2.9,0.172447061,0.221674877,,,,,,,,,,,,
158,CWSF,1994,0.61,24000,4542720,12,1.176299662,1.827945205,0.848219178,0.063984059,0.09625323,1.420273973,0.309041096,0.127094234,0.29964539,,,,,,,,
159,CWSF,1994,0.72,24000,661440,95,9.535558781,0.269589041,0.065753425,0.014852494,0.032631579,0.210410959,0.013150685,0.029185144,0.157894737,,,,,,,,
160,CWSF,1994,0.69,19000,3546920,13,1.349100064,1.363835616,0.556986301,0.068885821,0.111430625,1.051506849,0.166575342,0.141733215,0.408653846,,,,,,,,
161,CWSF,2005,,7500,2850,2.6,0,,,,,,,,,0.001015068,0.000858904,0.064251571,0.06993007,,,,
161.1,CWSF,2005,,10000,2100,3.6,0,,,,,,,,,0.00040274,0.00040274,0,0,,,,
162,CWSF,2005,,6500,11700,0.6,0,,,,,,,,,0.004167123,0.002243836,1.031732014,1.428571429,,,,
163,CWSF,2008,0.49,13400,448532.8571,4.07,5.343176006,7.506714286,2.8611,0.237000416,0.398947458,3.673214286,1.50348,0.219480267,0.354580205,,,,,,,,
164,CWSF,2008,0.46,13400,481474.4595,4.72,4.672854303,9.855405405,4.95924,0.145501605,0.209169788,5.716135135,1.27908,0.317193185,0.734945472,,,,,,,,
165,CWSF,2008,0.49,12800,260336.25,4.24,8.793550648,4.45385,1.50892,0.255277058,0.460302045,2.179375,0.75446,0.250186593,0.445437609,,,,,,,,
166,CWSF,2008,0.51,12800,420191.8421,6.09,5.670552736,10.84473684,3.06222,0.207641993,0.417317299,6.289947368,1.13486,0.281189394,0.745892858,,,,,,,,
167,CWSF,2008,0.44,9200,1025285,3.6,1.441082236,13.8504,10.0776,0.088333048,0.103993014,6.94908,5.0388,0.089289255,0.105309465,,,,,,,,
168,CWSF,2008,0.7,9200,1681737.5,1.45,1.397721107,40.15935,17.8619,0.558748508,0.860913549,23.94,11.5311,0.50379515,0.742154874,,,,,,,,
169,CWSF,2008,0.43,7800,452052.5,3.42,2.708114655,7.1108,6.16743,0.0416177,0.044725142,3.56766,1.31355,0.292156878,0.501767341,,,,,,,,
170,CWSF,2008,0.52,7800,624697.5,2.44,2.369851008,14.57412,5.22918,0.420079047,0.732408034,8.688,3.06495,0.427012913,0.751897645,,,,,,,,
171,CWSF,2011,,,43800,9.1,0,10.446,0.72,0.293925626,1.484432234,0.552,0.0198,0.365699572,2.953712954,,,,,,,,
172,CWSF,2002,1,4000,1445400,1.1,1.01010101,34.452,29.7,0.134927277,0.145454545,,,,,,,,,,,,
173,CWSF,2002,1.5,10000,8715105,0.6,0.628219626,131.3235,131.3235,0,0,,,,,,,,,,,,
174,CWSF,2002,1.5,1000,609550,0.8,0.898203593,25.217,24.716,0.025084454,0.025337838,,,,,,,,,,,,
175,CWSF,2002,2.1,3000,511730,5,4.493580599,23.9742,21.5908,0.020942191,0.022077922,,,,,,,,,,,,
176,CWSF,2002,0.8,8000,882205,2.5,2.647910633,20.0611,16.1939,0.085659195,0.095522388,,,,,,,,,,,,
177,CWSF,2002,1,30000,2810135,3.9,3.896609949,35.4154,26.9465,0.070075214,0.080586081,,,,,,,,,,,,
178,CWSF,2002,0.7,4000,9973990,0.1,0.102466515,213.1428,221.3406,-0.37740328,-0.37037037,,,,,,,,,,,,
179,CWSF,2002,1.5,5000,678900,3.6,4.032258065,13.95,12.834,0.023161558,0.024154589,,,,,,,,,,,,
180,CWUF,2001,,,-999,3.5,0,,,0.523594704,1.5,,,,,,,0.299949178,0.530612245,,,,
181,CWUF,2000,0.42,0.374,5.517115385,2.6,10.39206107,0.000730073,0.000486715,0.155948119,0.192307692,4.08E-06,0.000001965,0.28111058,0.414201183,,,,,,,,
182,CWUF,2000,0.42,0.374,3.678076923,3.9,15.5880916,0.000486715,0.000308354,0.117033731,0.148315737,2.72E-06,0.00000131,0.187407053,0.276134122,,,,,,,,
183,CWUF,2000,0.42,0.374,2.431271186,5.9,23.58198474,0.000321727,0.000174519,0.103673246,0.142968042,1.80E-06,8.66E-07,0.123879239,0.182529335,,,,,,,,
184,CWUF,2000,0.45,12.98,213.1965,4,10,0.03200868,0.01723095,0.154824983,0.21440678,0.000181071,0.000157707,0.034537585,0.037037037,,,,,,,,
185,CWUF,2000,0.45,12.98,106.59825,8,20,0.01600434,0.00724284,0.099105818,0.151209677,9.05E-05,0.000075933,0.021986333,0.024038462,,,,,,,,
186,CWUF,2000,0.45,12.98,71.0655,12,30,0.01066956,0.00346566,0.093707645,0.173220974,0.000060357,0.000042834,0.028578729,0.034090909,,,,,,,,
187,CWUF,2006,0.8,352,627.8,7.333333333,163.7209302,0.8562676,0.468528,0.082225511,0.112850421,0.0031476,0.043688,-0.358695437,-0.126539012,0.003956,0.00172,0.113578517,0.177272727,,,,
188,CWUF,1999,0.9,106,730,14,47.7,,,0.074987295,0.132653061,,,,,,,0.279430215,3.5,,,,
